,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq428_[chr12:119656642-119656812],27.96738787,9.53E-05,0.00057052,6,87,18,12
seq429_[chr12:119740640-119740810],7.566043801,0.271649967,0.430913805,6,90,18,12
seq43_[chr1:26758599-26758769],12.46330225,0.052396136,0.127706594,6,98,18,12
seq430_[chr12:121676584-121676754],3.701311419,0.717021587,0.817699276,6,81,18,12
seq431_[chr12:122851418-122851588],6.960379656,0.324526827,0.488440376,6,82,18,12
seq432_[chr12:124625507-124625677],6.160795401,0.405421023,0.570544958,6,58,18,12
seq433_[chr12:130255973-130256143],69.20308193,5.96E-13,1.09E-11,6,86,18,12
seq434_[chr12:130356635-130356805],17.67868876,0.007087397,0.024397055,6,79,18,12
seq435_[chr12:132208272-132208442],2.177102725,0.90271104,0.938530762,6,78,18,12
seq436_[chr12:132475303-132475473],393.6680632,6.42E-82,1.43E-79,6,85,18,12
seq437_[chr12:132532286-132532456],2.650122282,0.851302774,0.909308632,6,80,18,12
seq438_[chr13:24153358-24153528],19.3361507,0.003632033,0.013862084,6,98,18,12
seq439_[chr13:24206279-24206449],2.58095778,0.859299449,0.914825135,6,71,18,12
seq44_[chr1:27337558-27337728],50.42390429,3.87E-09,4.64E-08,6,99,18,12
seq440_[chr13:24207004-24207174],3.542615348,0.738291549,0.833040528,6,87,18,12
seq441_[chr13:26545316-26545486],49.03301832,7.34E-09,8.51E-08,6,90,18,12
seq442_[chr13:26626100-26626270],14.84371645,0.021507705,0.062619156,6,67,18,12
seq443_[chr13:28395788-28395958],18.74279263,0.004620804,0.016909097,6,86,18,12
seq444_[chr13:30628106-30628276],13.36783377,0.037552696,0.098756547,6,81,18,12
seq445_[chr13:35487334-35487504],5.644437566,0.464174157,0.622325091,6,84,18,12
seq446_[chr13:35488679-35488849],2.848109026,0.827655108,0.893371692,6,61,18,12
seq447_[chr13:41226095-41226265],10.68068166,0.098761083,0.211835366,6,80,18,12
seq448_[chr13:41254860-41255030],16.75210039,0.010238817,0.033385812,6,92,18,12
seq449_[chr13:43142121-43142291],21.0579902,0.001791116,0.007561857,6,80,18,12
seq45_[chr1:27339474-27339644],26.3772288,0.000189347,0.001048694,6,99,18,12
seq450_[chr13:43167231-43167401],8.672141154,0.192873424,0.342087084,6,82,18,12
seq451_[chr13:43167713-43167883],5.621923672,0.466844752,0.624334548,6,64,18,12
seq452_[chr13:55574291-55574461],14.64802206,0.023178257,0.066898025,6,79,18,12
seq453_[chr13:55575067-55575237],2.558686548,0.861842755,0.915741639,6,98,18,12
seq454_[chr13:56157664-56157834],6.839778589,0.335919004,0.500217007,6,69,18,12
seq455_[chr13:56234747-56234917],19.77267762,0.003039488,0.011820725,6,93,18,12
seq456_[chr13:60053143-60053313],23.46337091,0.000655249,0.003128287,6,78,18,12
seq457_[chr13:60053908-60054078],53.72687882,8.37E-10,1.08E-08,6,88,18,12
seq458_[chr13:60162664-60162834],7.348643578,0.289804367,0.449382325,6,83,18,12
seq459_[chr13:61158613-61158783],32.06719377,1.58E-05,0.000111052,6,95,18,12
seq46_[chr1:27633769-27633939],107.9692496,5.42E-21,1.98E-19,6,99,18,12
seq460_[chr13:61159186-61159356],18.80702984,0.004502251,0.016543444,6,98,18,12
seq461_[chr13:63086520-63086690],80.2913417,3.11E-15,7.08E-14,6,99,18,12
seq462_[chr13:74601004-74601174],3.063929474,0.800781309,0.877893583,6,55,18,12
seq463_[chr13:78427985-78428155],155.2693875,5.94E-31,4.06E-29,6,69,18,12
seq464_[chr13:79232505-79232675],91.0077568,1.87E-17,5.08E-16,6,80,18,12
seq465_[chr13:85229189-85229359],58.7417511,8.10E-11,1.17E-09,6,86,18,12
seq466_[chr13:95358951-95359121],5.671482603,0.460977645,0.619286155,6,89,18,12
seq467_[chr13:96947610-96947780],24.29953612,0.000459974,0.002290413,6,71,18,12
seq468_[chr13:97920067-97920237],23.55326762,0.000630853,0.003026598,6,94,18,12
seq469_[chr13:101768198-101768368],8.186704284,0.224741561,0.380859745,6,81,18,12
seq47_[chr1:27919277-27919447],21.88152727,0.001272202,0.005629813,6,98,18,12
seq470_[chr13:110779158-110779328],10.65365349,0.099688873,0.213138971,6,81,18,12
seq471_[chr13:111561066-111561236],2.509531871,0.867399376,0.919129412,6,84,18,12
seq472_[chr13:113388407-113388577],8.95429361,0.176164931,0.320821736,6,95,18,12
seq473_[chr13:113390236-113390406],2.923393652,0.818398532,0.887709157,6,99,18,12
seq474_[chr13:113546050-113546220],6.655324734,0.353901353,0.521393638,6,98,18,12
seq475_[chr13:113548808-113548978],23.79598346,0.000569357,0.002767824,6,99,18,12
seq476_[chr13:114271509-114271679],5.407188835,0.492744399,0.645681789,6,88,18,12
seq477_[chr14:23019151-23019321],1.260059097,0.973814355,0.983288252,6,78,18,12
seq478_[chr14:23504256-23504426],6.309893953,0.389385663,0.554421917,6,69,18,12
seq479_[chr14:24671807-24671977],120.3525892,1.37E-23,6.31E-22,6,86,18,12
seq48_[chr1:27919586-27919756],21.70512569,0.0013692,0.005999257,6,99,18,12
seq480_[chr14:25412373-25412543],4.641579456,0.590533327,0.724691286,6,80,18,12
seq481_[chr14:30132788-30132958],59.70353591,5.17E-11,7.78E-10,6,80,18,12
seq482_[chr14:35866924-35867094],14.50223568,0.024502354,0.0698868,6,78,18,12
seq483_[chr14:38659198-38659368],8.562636434,0.199709891,0.350017862,6,69,18,12
seq484_[chr14:48729864-48730034],36.83003843,1.90E-06,1.62E-05,6,78,18,12
seq485_[chr14:51706847-51707017],107.672981,6.26E-21,2.22E-19,6,98,18,12
seq486_[chr14:53822385-53822555],15.23106707,0.018533693,0.054677474,6,82,18,12
seq487_[chr14:54209002-54209172],8.56920648,0.199294047,0.349518988,6,80,18,12
seq488_[chr14:54828862-54829032],8.956063337,0.176064158,0.320821736,6,86,18,12
seq489_[chr14:57757595-57757765],16.07145866,0.013375516,0.041626607,6,83,18,12
seq49_[chr1:30397041-30397211],20.74080935,0.002042013,0.008473401,6,93,18,12
seq490_[chr14:59240123-59240293],13.48174796,0.03599263,0.095816706,6,83,18,12
seq491_[chr14:60784445-60784615],4.986961596,0.54548648,0.689777243,6,65,18,12
seq492_[chr14:61969467-61969637],11.24805465,0.081005952,0.181344417,6,75,18,12
seq493_[chr14:64854653-64854823],30.7174763,2.87E-05,0.000187851,6,99,18,12
seq494_[chr14:64858183-64858353],14.04840548,0.029100097,0.080501203,6,82,18,12
seq495_[chr14:65748796-65748966],9.365201473,0.154057055,0.290863214,6,90,18,12
seq496_[chr14:65801656-65801826],33.0427777,1.03E-05,7.57E-05,6,75,18,12
seq497_[chr14:68400983-68401153],8.984935316,0.174427072,0.319583027,6,75,18,12
seq498_[chr14:68727972-68728142],9.28643236,0.15809854,0.296810789,6,86,18,12
seq499_[chr14:69035870-69036040],6.95421778,0.325101891,0.488477967,6,59,18,12
seq5_[chr1:3566617-3566787],35.64341551,3.23E-06,2.68E-05,6,99,18,12
seq50_[chr1:33804139-33804309],9.78200651,0.134137489,0.262558612,6,71,18,12
seq500_[chr14:70040454-70040624],12.67029619,0.0485809,0.12005521,6,99,18,12
seq501_[chr14:70180287-70180457],6.72726046,0.346808049,0.513275913,6,99,18,12
seq502_[chr14:71108402-71108572],18.90524192,0.004326694,0.01607575,6,95,18,12
seq503_[chr14:71122258-71122428],15.13784318,0.019211277,0.056302357,6,84,18,12
seq504_[chr14:72113927-72114097],10.31470875,0.11200936,0.232212401,6,78,18,12
seq505_[chr14:73702349-73702519],9.520748803,0.146339659,0.280466799,6,83,18,12
seq506_[chr14:74100437-74100607],23.35431321,0.000686093,0.003252227,6,98,18,12
seq507_[chr14:74101113-74101283],71.51899181,1.99E-13,3.80E-12,6,98,18,12
seq508_[chr14:75352901-75353071],7.306333992,0.293444235,0.453969479,6,86,18,12
seq509_[chr14:75743758-75743928],21.63747551,0.00140829,0.006141426,6,37,18,12
seq51_[chr1:33808005-33808175],63.44919455,8.94E-12,1.50E-10,6,99,18,12
seq510_[chr14:75745100-75745270],19.87775396,0.002911591,0.011406587,6,93,18,12
seq511_[chr14:75745409-75745579],32.59478947,1.25E-05,9.01E-05,6,99,18,12
seq512_[chr14:76550859-76551029],3.340800991,0.765015651,0.853434546,6,98,18,12
seq513_[chr14:77422798-77422968],140.5073557,7.83E-28,4.74E-26,6,99,18,12
seq514_[chr14:77428197-77428367],220.6707955,7.49E-45,8.31E-43,6,98,18,12
seq515_[chr14:89760010-89760180],10.75845618,0.096134712,0.206701269,6,75,18,12
seq516_[chr14:89762785-89762955],3.030377522,0.805024588,0.880346453,6,83,18,12
seq517_[chr14:90085337-90085507],29.64587608,4.59E-05,0.000291793,6,98,18,12
seq518_[chr14:95195313-95195483],6.653783374,0.354054463,0.521393638,6,92,18,12
seq519_[chr14:99989382-99989552],16.07356682,0.013364505,0.041626607,6,97,18,12
seq52_[chr1:33815631-33815801],3.028857602,0.80521628,0.880346453,6,98,18,12
seq520_[chr14:100029617-100029787],125.4191464,1.18E-24,5.95E-23,6,99,18,12
seq521_[chr14:100355660-100355830],26.87723704,0.00015268,0.000872767,6,97,18,12
seq522_[chr14:100842685-100842855],123.7597725,2.64E-24,1.26E-22,6,99,18,12
seq523_[chr14:101297072-101297242],1.333418271,0.969783046,0.981369836,6,76,18,12
seq524_[chr14:101298682-101298852],4.94774784,0.550532157,0.693472342,6,81,18,12
seq525_[chr14:101306686-101306856],400.4581744,2.23E-83,5.40E-81,6,99,18,12
seq526_[chr14:101689615-101689785],15.47047933,0.016896719,0.050576247,6,87,18,12
seq527_[chr15:25889456-25889626],104.9511356,2.32E-20,7.63E-19,6,98,18,12
seq528_[chr15:26375178-26375348],17.34168071,0.008106237,0.027335461,6,73,18,12
seq529_[chr15:28834253-28834423],12.24939291,0.056630879,0.136614731,6,99,18,12
seq53_[chr1:33829581-33829751],31.92182596,1.69E-05,0.000117483,6,96,18,12
seq530_[chr15:29638351-29638521],13.44263563,0.036521259,0.096712359,6,97,18,12
seq531_[chr15:31443380-31443550],1.732498949,0.942584815,0.963962552,6,80,18,12
seq532_[chr15:31589000-31589170],2.198131351,0.90060437,0.938290983,6,99,18,12
seq533_[chr15:34506439-34506609],24.6075167,0.000403563,0.0020439,6,87,18,12
seq534_[chr15:35312720-35312890],92.79864846,7.94E-18,2.27E-16,6,75,18,12
seq535_[chr15:37199632-37199802],11.86028093,0.065159341,0.152133642,6,87,18,12
seq536_[chr15:37387292-37387462],25.47875617,0.000278328,0.001473712,6,82,18,12
seq537_[chr15:43182418-43182588],2.430375874,0.87617689,0.922218584,6,86,18,12
seq538_[chr15:46590611-46590781],3.022652293,0.805998405,0.880346453,6,78,18,12
seq539_[chr15:50758854-50759024],9.41720869,0.151438179,0.287344237,6,98,18,12
seq54_[chr1:35856723-35856893],20.50550061,0.002250043,0.009207549,6,96,18,12
seq540_[chr15:53097144-53097314],4.143638475,0.657245268,0.779751881,6,95,18,12
seq541_[chr15:53097620-53097790],7.841547754,0.249943335,0.409356257,6,99,18,12
seq542_[chr15:56035339-56035509],59.00618876,7.16E-11,1.05E-09,6,99,18,12
seq543_[chr15:57490841-57491011],20.92324397,0.001893786,0.007932461,6,79,18,12
seq544_[chr15:57491115-57491285],7.012793143,0.319665717,0.4830343,6,81,18,12
seq545_[chr15:57678240-57678410],32.71355277,1.19E-05,8.62E-05,6,83,18,12
seq546_[chr15:59646251-59646421],2.952065125,0.814838689,0.884928768,6,81,18,12
seq547_[chr15:59646518-59646688],4.51889469,0.60682013,0.739122209,6,74,18,12
seq548_[chr15:59646791-59646961],10.4928194,0.105374283,0.222791341,6,89,18,12
seq549_[chr15:60289485-60289655],31.19085363,2.33E-05,0.000156014,6,99,18,12
seq55_[chr1:36348654-36348824],41.7693847,2.04E-07,1.98E-06,6,95,18,12
seq550_[chr15:60290596-60290766],3.981325449,0.679203723,0.793944151,6,73,18,12
seq551_[chr15:60296239-60296409],22.81603226,0.000860494,0.003972889,6,99,18,12
seq552_[chr15:60298554-60298724],31.28689695,2.23E-05,0.000151076,6,99,18,12
seq553_[chr15:61304051-61304221],10.99020535,0.08867962,0.193800252,6,83,18,12
seq554_[chr15:64171457-64171627],11.02832645,0.087504904,0.192814777,6,98,18,12
seq555_[chr15:65066967-65067137],9.774774047,0.134462839,0.262809246,6,99,18,12
seq557_[chr15:65102160-65102330],7.450632407,0.281173675,0.440615688,6,99,18,12
seq558_[chr15:65647925-65648095],32.88082812,1.11E-05,8.02E-05,6,97,18,12
seq559_[chr15:65707614-65707784],18.28221447,0.005564304,0.019843783,6,98,18,12
seq56_[chr1:36351739-36351909],277.1961804,6.26E-57,1.04E-54,6,99,18,12
seq560_[chr15:65709610-65709780],8.313816067,0.216001979,0.371150964,6,99,18,12
seq561_[chr15:65713907-65714077],9.001957922,0.173467989,0.318263583,6,92,18,12
seq562_[chr15:66125310-66125480],15.12443238,0.019310679,0.056531481,6,97,18,12
seq563_[chr15:66246764-66246934],3.983621945,0.678892932,0.793944151,6,98,18,12
seq564_[chr15:66766552-66766722],0.487742759,0.997984475,0.998734276,6,86,18,12
seq565_[chr15:68074394-68074564],9.054046327,0.170561282,0.3153194,6,88,18,12
seq567_[chr15:69819133-69819303],13.08987159,0.041630772,0.106568879,6,93,18,12
seq568_[chr15:70212271-70212441],5.727243937,0.454427323,0.613575701,6,90,18,12
seq569_[chr15:70283791-70283961],4.693025097,0.583743409,0.720908934,6,93,18,12
seq57_[chr1:36851493-36851663],95.1653511,2.55E-18,7.56E-17,6,99,18,12
seq570_[chr15:70390192-70390362],9.71848574,0.137018817,0.266242253,6,99,18,12
seq571_[chr15:70391972-70392142],41.72438262,2.08E-07,2.01E-06,6,99,18,12
seq572_[chr15:71496176-71496346],4.727903391,0.579154637,0.716280387,6,86,18,12
seq573_[chr15:71606191-71606361],3.011776397,0.807367323,0.880764352,6,79,18,12
seq574_[chr15:75409662-75409832],9.444930376,0.150058139,0.285653427,6,88,18,12
seq575_[chr15:75546672-75546842],2.55664789,0.862074773,0.915741639,6,73,18,12
seq576_[chr15:75566875-75567045],6.520195208,0.367502935,0.533338734,6,99,18,12
seq577_[chr15:83632341-83632511],26.35188577,0.000191421,0.00105579,6,89,18,12
seq578_[chr15:85503859-85504029],12.19323215,0.057794282,0.138456804,6,98,18,12
seq579_[chr15:89529348-89529518],12.48851112,0.051916988,0.12665463,6,83,18,12
seq58_[chr1:38412721-38412891],69.46908288,5.25E-13,9.65E-12,6,99,18,12
seq580_[chr15:89536311-89536481],30.86008415,2.70E-05,0.00017864,6,82,18,12
seq581_[chr15:89542299-89542469],4.651550526,0.589215383,0.724017426,6,74,18,12
seq582_[chr15:90695549-90695719],6.095520684,0.412575379,0.576959442,6,98,18,12
seq583_[chr15:90936957-90937127],12.64700284,0.048996903,0.120859027,6,79,18,12
seq584_[chr15:93604918-93605088],2.671698027,0.848778741,0.908019977,6,86,18,12
seq585_[chr15:93616318-93616488],1.479618712,0.960836904,0.975855704,6,49,18,12
seq586_[chr15:93631246-93631416],18.78037881,0.004551074,0.016676836,6,64,18,12
seq587_[chr15:93632218-93632388],2.636692971,0.852866831,0.910271329,6,72,18,12
seq588_[chr15:93823501-93823671],9.085701578,0.168815334,0.312308369,6,97,18,12
seq589_[chr15:93892380-93892550],5.872931822,0.437573985,0.598100101,6,75,18,12
seq59_[chr1:39636488-39636658],16.35288804,0.011980126,0.038328468,6,92,18,12
seq590_[chr15:93905528-93905698],46.74474924,2.10E-08,2.32E-07,6,98,18,12
seq591_[chr15:93909222-93909392],6.076088324,0.414720865,0.578740903,6,82,18,12
seq592_[chr15:94162781-94162951],2.556275601,0.862117129,0.915741639,6,80,18,12
seq593_[chr15:95830554-95830724],58.49332225,9.10E-11,1.31E-09,6,86,18,12
seq594_[chr15:96596237-96596407],2.571435624,0.860388778,0.915365697,6,79,18,12
seq595_[chr15:96631977-96632147],4.802099503,0.569434505,0.709197532,6,86,18,12
seq596_[chr15:96873740-96873910],4.186866333,0.651404776,0.774706395,6,71,18,12
seq597_[chr15:97246428-97246598],2.308897968,0.889212079,0.931888661,6,83,18,12
seq598_[chr16:533687-533857],7.959716297,0.241069479,0.398663155,6,84,18,12
seq599_[chr16:764966-765136],13.48096066,0.036003199,0.095816706,6,77,18,12
seq6_[chr1:3709979-3710149],35.18591336,3.97E-06,3.20E-05,6,79,18,12
seq60_[chr1:39734684-39734854],5.587217053,0.470978643,0.627657381,6,85,18,12
seq600_[chr16:1429877-1430047],4.921779065,0.553884072,0.696341278,6,98,18,12
seq601_[chr16:5921323-5921493],6.250979326,0.395670619,0.561569808,6,72,18,12
seq602_[chr16:6246080-6246250],5.180336541,0.52090057,0.670084175,6,77,18,12
seq603_[chr16:6392091-6392261],14.03137034,0.029287696,0.080768553,6,88,18,12
seq604_[chr16:6393249-6393419],38.05751556,1.09E-06,9.50E-06,6,81,18,12
seq605_[chr16:11409425-11409595],40.56645723,3.52E-07,3.29E-06,6,98,18,12
seq607_[chr16:13451769-13451939],8.076201596,0.232573588,0.389180929,6,87,18,12
seq608_[chr16:19142258-19142428],11.8253387,0.065980655,0.153513069,6,79,18,12
seq609_[chr16:22943710-22943880],13.39897127,0.037120053,0.098005768,6,79,18,12
seq61_[chr1:40358925-40359095],32.94101978,1.08E-05,7.86E-05,6,79,18,12
seq610_[chr16:23410457-23410627],22.8581451,0.000845408,0.003910014,6,99,18,12
seq611_[chr16:24150713-24150883],54.93163536,4.79E-10,6.39E-09,6,85,18,12
seq612_[chr16:26062418-26062588],1.330487726,0.969949992,0.981369836,6,78,18,12
seq613_[chr16:26188896-26189066],15.85494854,0.014554058,0.044668216,6,77,18,12
seq614_[chr16:26996807-26996977],10.53795777,0.103749887,0.219880429,6,84,18,12
seq615_[chr16:26997150-26997320],27.52976536,0.000115187,0.000678892,6,84,18,12
seq616_[chr16:26997605-26997775],5.993870498,0.423877064,0.586601818,6,79,18,12
seq617_[chr16:27338476-27338646],3.756420969,0.709599268,0.815206271,6,99,18,12
seq618_[chr16:31256898-31257068],105.7024268,1.62E-20,5.59E-19,6,75,18,12
seq619_[chr16:46994322-46994492],249.6532633,4.86E-51,6.82E-49,6,85,18,12
seq62_[chr1:43428485-43428655],15.71255715,0.015382829,0.04683412,6,97,18,12
seq620_[chr16:48352638-48352808],1.687006595,0.946119968,0.966923597,6,88,18,12
seq621_[chr16:49730559-49730729],52.43530311,1.52E-09,1.92E-08,6,98,18,12
seq622_[chr16:49736173-49736343],7.434366812,0.282536592,0.441971509,6,98,18,12
seq623_[chr16:51185392-51185562],22.27276283,0.001080483,0.004870401,6,97,18,12
seq624_[chr16:51186282-51186452],14.06092941,0.028962905,0.080288427,6,76,18,12
seq625_[chr16:51670866-51671036],15.19607548,0.018785301,0.055297283,6,98,18,12
seq626_[chr16:52299381-52299551],10.93100067,0.090532493,0.196880458,6,78,18,12
seq627_[chr16:52560368-52560538],17.14651842,0.008759586,0.029214834,6,70,18,12
seq628_[chr16:53078137-53078307],24.08783556,0.000503181,0.002482359,6,99,18,12
seq629_[chr16:54320246-54320416],7.577370145,0.270729131,0.43028187,6,94,18,12
seq63_[chr1:43432875-43433045],90.02283096,3.00E-17,7.83E-16,6,98,18,12
seq630_[chr16:54320837-54321007],7.528285675,0.274737507,0.43462038,6,50,18,12
seq631_[chr16:54963028-54963198],47.62130723,1.41E-08,1.57E-07,6,99,18,12
seq632_[chr16:54964571-54964741],18.39937702,0.005307921,0.01908273,6,98,18,12
seq633_[chr16:56581322-56581492],3.047489396,0.802863249,0.879178236,6,82,18,12
seq634_[chr16:57180653-57180823],10.5945376,0.101745617,0.216281601,6,98,18,12
seq635_[chr16:58453594-58453764],99.86112561,2.68E-19,8.38E-18,6,79,18,12
seq636_[chr16:66116019-66116189],60.72642065,3.20E-11,5.02E-10,6,82,18,12
seq637_[chr16:69106324-69106494],9.986603552,0.125217308,0.250246743,6,89,18,12
seq638_[chr16:69112016-69112186],58.97086479,7.28E-11,1.06E-09,6,99,18,12
seq639_[chr16:70655765-70655935],20.08927035,0.002669862,0.010631559,6,90,18,12
seq64_[chr1:44231839-44232009],5.762943062,0.45026247,0.610742983,6,84,18,12
seq640_[chr16:74905601-74905771],15.58685622,0.016151919,0.048675015,6,99,18,12
seq641_[chr16:75279058-75279228],249.9006636,4.31E-51,6.37E-49,6,99,18,12
seq642_[chr16:75285469-75285639],10.08992235,0.120915916,0.244758296,6,49,18,12
seq643_[chr16:75287412-75287582],8.404371821,0.209949042,0.363021449,6,98,18,12
seq644_[chr16:77501895-77502065],8.435570636,0.20789662,0.360805601,6,85,18,12
seq645_[chr16:79332960-79333130],6.063204648,0.416147259,0.580123652,6,86,18,12
seq646_[chr16:85612870-85613040],111.9429474,7.99E-22,3.22E-20,6,86,18,12
seq647_[chr16:85660193-85660363],18.52891377,0.005037813,0.018160669,6,98,18,12
seq648_[chr16:86793480-86793650],1.048073304,0.983724084,0.98854808,6,83,18,12
seq649_[chr16:87811447-87811617],27.33305613,0.000125413,0.000732674,6,99,18,12
seq65_[chr1:45008968-45009138],13.64786971,0.033826773,0.090841254,6,83,18,12
seq650_[chr16:87812847-87813017],25.08987118,0.000328616,0.001719906,6,99,18,12
seq651_[chr16:87887325-87887495],91.81844609,1.27E-17,3.60E-16,6,99,18,12
seq652_[chr17:585089-585259],16.40239914,0.011749594,0.037757442,6,80,18,12
seq653_[chr17:1619584-1619754],51.75573416,2.09E-09,2.55E-08,6,98,18,12
seq654_[chr17:1620390-1620560],24.00498716,0.000521156,0.002561549,6,95,18,12
seq655_[chr17:4299571-4299741],43.29961502,1.02E-07,1.03E-06,6,80,18,12
seq656_[chr17:4300230-4300400],18.64235892,0.004812267,0.017434203,6,98,18,12
seq657_[chr17:5614759-5614929],7.229499036,0.300143884,0.461120708,6,85,18,12
seq658_[chr17:5796732-5796902],8.271656129,0.218869008,0.374240717,6,84,18,12
seq659_[chr17:6042480-6042650],17.43644092,0.007806255,0.026424222,6,89,18,12
seq66_[chr1:46392888-46393058],5.355116159,0.499137852,0.649903831,6,89,18,12
seq660_[chr17:9124196-9124366],4.06338822,0.668098466,0.785096742,6,94,18,12
seq661_[chr17:9233499-9233669],3.809712034,0.702409203,0.809000483,6,78,18,12
seq662_[chr17:9234117-9234287],18.92818916,0.004286645,0.0159715,6,79,18,12
seq663_[chr17:11572055-11572225],11.70202004,0.068956228,0.158225143,6,49,18,12
seq664_[chr17:11802931-11803101],4.897815438,0.556984417,0.698261876,6,81,18,12
seq665_[chr17:12880592-12880762],10.18100078,0.117233728,0.239774914,6,99,18,12
seq666_[chr17:13654701-13654871],27.07882235,0.000139966,0.000810584,6,85,18,12
seq667_[chr17:15083476-15083646],1.665728287,0.947736317,0.966974166,6,81,18,12
seq668_[chr17:15869833-15870003],57.12550253,1.72E-10,2.40E-09,6,82,18,12
seq669_[chr17:16189364-16189534],60.51861715,3.53E-11,5.44E-10,6,99,18,12
seq67_[chr1:46932376-46932546],66.6378384,2.00E-12,3.57E-11,6,99,18,12
seq670_[chr17:27313278-27313448],34.30917677,5.86E-06,4.54E-05,6,99,18,12
seq671_[chr17:30608178-30608348],25.55988371,0.000268836,0.001438111,6,99,18,12
seq672_[chr17:32906238-32906408],9.251357679,0.159927549,0.299190302,6,94,18,12
seq673_[chr17:36571045-36571215],19.3639131,0.00359121,0.013745668,6,98,18,12
seq674_[chr17:36571858-36572028],63.83137263,7.47E-12,1.28E-10,6,98,18,12
seq675_[chr17:37820057-37820227],11.37928872,0.077337956,0.174896702,6,98,18,12
seq676_[chr17:37844290-37844460],95.23381798,2.47E-18,7.40E-17,6,99,18,12
seq677_[chr17:37845417-37845587],12.06175173,0.060605293,0.143641014,6,78,18,12
seq678_[chr17:40075264-40075434],9.294943593,0.157657456,0.29619144,6,98,18,12
seq679_[chr17:40481188-40481358],7.838676809,0.250162157,0.409356257,6,77,18,12
seq68_[chr1:46953738-46953908],39.25055694,6.39E-07,5.75E-06,6,98,18,12
seq680_[chr17:42633937-42634107],21.86619916,0.001280356,0.005649597,6,98,18,12
seq681_[chr17:42634536-42634706],40.62901708,3.43E-07,3.25E-06,6,98,18,12
seq682_[chr17:44848839-44849009],4.669261846,0.586876634,0.721809489,6,98,18,12
seq683_[chr17:46068913-46069083],6.033068391,0.419495957,0.582657575,6,99,18,12
seq684_[chr17:46072670-46072840],28.16035525,8.76E-05,0.000525892,6,99,18,12
seq685_[chr17:46080921-46081091],5.708517819,0.456621015,0.615295086,6,98,18,12
seq686_[chr17:46089674-46089844],10.83222801,0.093702101,0.202780176,6,99,18,12
seq688_[chr17:46133154-46133324],63.31343471,9.53E-12,1.59E-10,6,88,18,12
seq689_[chr17:47943180-47943350],64.78475852,4.77E-12,8.37E-11,6,99,18,12
seq69_[chr1:51887752-51887922],24.34784183,0.000450639,0.002252349,6,87,18,12
seq690_[chr17:49124188-49124358],7.321929634,0.292098482,0.452412998,6,80,18,12
seq691_[chr17:55952026-55952196],22.42221132,0.001014989,0.00463002,6,98,18,12
seq692_[chr17:56643124-56643294],10.04524234,0.122759651,0.247002802,6,83,18,12
seq693_[chr17:57443051-57443221],22.69414101,0.000905664,0.00415265,6,99,18,12
seq694_[chr17:57443876-57444046],5.615522622,0.467605632,0.624411731,6,99,18,12
seq695_[chr17:60902266-60902436],5.358084154,0.498772299,0.64974543,6,73,18,12
seq696_[chr17:63542057-63542227],3.177728489,0.786232227,0.869778197,6,93,18,12
seq697_[chr17:63568968-63569138],20.82432739,0.001972798,0.008224623,6,99,18,12
seq698_[chr17:63694784-63694954],6.321401043,0.388165955,0.554421917,6,85,18,12
seq699_[chr17:65970855-65971025],23.59389533,0.000620122,0.002987353,6,98,18,12
seq7_[chr1:3713054-3713224],74.92884348,3.97E-14,8.26E-13,6,99,18,12
seq70_[chr1:53128635-53128805],31.45196917,2.08E-05,0.000141927,6,99,18,12
seq700_[chr17:67408595-67408765],11.70441267,0.068897337,0.158225143,6,83,18,12
seq701_[chr17:67410783-67410953],6.203329144,0.400802938,0.566139463,6,99,18,12
seq702_[chr17:67444863-67445033],2.443260509,0.874762891,0.921822919,6,86,18,12
seq703_[chr17:68984020-68984190],11.38342234,0.077224932,0.174789482,6,79,18,12
seq704_[chr17:71307093-71307263],39.00227929,7.15E-07,6.38E-06,6,99,18,12
seq705_[chr17:71308257-71308427],8.929940303,0.177556687,0.321995245,6,99,18,12
seq706_[chr17:71609371-71609541],15.2272941,0.018560667,0.054696479,6,91,18,12
seq707_[chr17:71610073-71610243],14.47886114,0.024721237,0.070210421,6,99,18,12
seq708_[chr17:71641371-71641541],5.127913729,0.527515162,0.675950164,6,41,18,12
seq709_[chr17:72428215-72428385],37.95892539,1.14E-06,9.90E-06,6,99,18,12
seq71_[chr1:57001223-57001393],3.64459587,0.724642952,0.822731394,6,76,18,12
seq710_[chr17:72760041-72760211],40.58803023,3.49E-07,3.29E-06,6,98,18,12
seq711_[chr17:73689832-73690002],23.66939929,0.000600655,0.002909355,6,99,18,12
seq712_[chr17:73690273-73690443],6.686209509,0.350843355,0.517809805,6,99,18,12
seq713_[chr17:74137255-74137425],6.423773747,0.377428453,0.541739978,6,99,18,12
seq714_[chr17:74441074-74441244],7.845222806,0.249663449,0.409356257,6,73,18,12
seq715_[chr17:75567373-75567543],9.646430695,0.140353102,0.27133575,6,99,18,12
seq716_[chr17:75738863-75739033],10.56183655,0.102899712,0.218293219,6,84,18,12
seq717_[chr17:75743152-75743322],3.466975731,0.748358123,0.83977508,6,82,18,12
seq718_[chr17:76347814-76347984],16.95195174,0.00946146,0.031117692,6,99,18,12
seq719_[chr17:76349183-76349353],64.08154275,6.64E-12,1.14E-10,6,99,18,12
seq72_[chr1:57285085-57285255],5.589573072,0.47069737,0.627596493,6,73,18,12
